genus,species,taxid,method
Brochothrix,thermosphacta,2756,automatic
Brucella,abortus,235,automatic
Brucella,canis,36855,automatic
Brucella,ceti,120577,automatic
Brucella,melitensis,29459,automatic
Brucella,neotomae,29460,automatic
Brucella,ovis,236,automatic
Brucella,pinnipedialis,120576,automatic
Brucella,suis,29461,automatic
Buchnera,aphidicola,9,automatic
Burkholderia,anthina,179879,automatic
Burkholderia,cenocepacia,95486,automatic
Burkholderia,cepacia,292,automatic
Burkholderia,contaminans,488447,automatic
Burkholderia,diffusa,488732,automatic
Burkholderia,dolosa,152500,automatic
Burkholderia,gladioli,28095,automatic
Burkholderia,glumae,337,automatic
Burkholderia,lata,482957,automatic
Burkholderia,mallei,13373,automatic
Burkholderia,multivorans,87883,automatic
Burkholderia,oklahomensis,342113,automatic
Burkholderia,pseudomallei,28450,automatic
Burkholderia,pseudomultivorans,1207504,automatic
Burkholderia,stagnalis,1503054,automatic
Burkholderia,territorii,1503055,automatic
Burkholderia,thailandensis,57975,automatic
Burkholderia,ubonensis,101571,automatic
Burkholderia,vietnamiensis,60552,automatic
Butyrivibrio,fibrisolvens,831,automatic
Butyrivibrio,proteoclasticus,43305,automatic
Caballeronia,Paraburkholderia zhejiangensis,871203,automatic
Caldanaerobacter,subterraneus,911092,automatic
Caldibacillus,debilis,301148,automatic
Campylobacter,coli,195,automatic
Campylobacter,concisus,199,automatic
Campylobacter,curvus,200,automatic
Campylobacter,fetus,196,automatic
Campylobacter,gracilis,824,automatic
Campylobacter,iguaniorum,1244531,automatic
Campylobacter,jejuni,197,automatic
Campylobacter,lari,201,automatic
Campylobacter,subantarcticus,497724,automatic
Campylobacter,upsaliensis,28080,automatic
Capnocytophaga,canimorsus,28188,automatic
Capnocytophaga,canis,1848903,automatic
Capnocytophaga,cynodegmi,28189,automatic
Capnocytophaga,ochracea,1018,automatic
Carnobacterium,divergens,2748,automatic
Carnobacterium,inhibens,147709,automatic
Carnobacterium,jeotgali,545534,automatic
Carnobacterium,maltaromaticum,2751,automatic
Catabacter,hongkongensis,270498,automatic
Caulobacter,henricii,69395,automatic
Caulobacter,vibrioides,155892,automatic
Cellulophaga,baltica,76594,automatic
Cellulophaga,lytica,979,automatic
Chania,multitudinisentens,1639108,automatic
Chlamydia,abortus,83555,automatic
Chlamydia,muridarum,83560,automatic
Chlamydia,pecorum,85991,automatic
Chlamydia,pneumoniae,83558,automatic
Chlamydia,psittaci,83554,automatic
Chlamydia,trachomatis,813,automatic
Chlorogloeopsis,fritschii,1124,automatic
Chromobacterium,haemolyticum,394935,automatic
Chromobacterium,subtsugae,251747,automatic
Chromobacterium,vaccinii,1108595,automatic
Chromobacterium,violaceum,536,automatic
Chryseobacterium,oranimense,421058,automatic
Citrobacter,amalonaticus,35703,automatic
Citrobacter,braakii,57706,automatic
Citrobacter,freundii,546,automatic
Citrobacter,koseri,545,automatic
Citrobacter,rodentium,67825,automatic
Clostridium,aceticum,84022,automatic
Clostridium,acetobutylicum,1488,automatic
Clostridium,autoethanogenum,84023,automatic
Clostridium,baratii,1561,automatic
Clostridium,beijerinckii,1520,automatic
Clostridium,botulinum,1491,automatic
Clostridium,butyricum,1492,automatic
Clostridium,carboxidivorans,217159,automatic
Clostridium,haemolyticum,84025,automatic
Clostridium,kluyveri,1534,automatic
Clostridium,novyi,1542,automatic
Clostridium,pasteurianum,1501,automatic
Clostridium,perfringens,1502,automatic
Clostridium,saccharoperbutylacetonicum,36745,automatic
Clostridium,sporogenes,1509,automatic
Clostridium,tetani,1513,automatic
Clostridium,tyrobutyricum,1519,automatic
Clostridium,ventriculi,1267,automatic
Collimonas,arenae,279058,automatic
Collimonas,pratensis,279113,automatic
Comamonas,aquatica,225991,automatic
Comamonas,testosteroni,285,automatic
Corynebacterium,accolens,38284,automatic
Corynebacterium,argentoratense,42817,automatic
Corynebacterium,aurimucosum,169292,automatic
Corynebacterium,callunae,1721,automatic
Corynebacterium,camporealensis,161896,automatic
Corynebacterium,casei,160386,automatic
Corynebacterium,diphtheriae,1717,automatic
Corynebacterium,doosanense,1121358,automatic
Corynebacterium,efficiens,152794,automatic
Corynebacterium,glucuronolyticum,39791,automatic
Corynebacterium,glutamicum,1718,automatic
Corynebacterium,halotolerans,225326,automatic
Corynebacterium,humireducens,1223514,automatic
Corynebacterium,jeikeium,38289,automatic
Corynebacterium,kroppenstedtii,161879,automatic
Corynebacterium,matruchotii,43768,automatic
Corynebacterium,minutissimum,38301,automatic
Corynebacterium,pilosum,35756,automatic
Corynebacterium,pseudodiphtheriticum,37637,automatic
Corynebacterium,pseudotuberculosis,1719,automatic
Corynebacterium,simulans,146827,automatic
Corynebacterium,ulcerans,65058,automatic
Corynebacterium,urealyticum,43771,automatic
Corynebacterium,vitaeruminis,38305,automatic
Corynebacterium,xerosis,1725,automatic
Coxiella,burnetii,777,automatic
Crocosphaera,watsonii,263511,automatic
