id,ncbi_id,name,rank,parent_id,in_v12,manual_threshold,report,is_leaf
353,1330546,Pluralibacter,genus,,true,NaN,true,false
354,1330547,Kosakonia,genus,,true,NaN,true,false
355,13687,Sphingomonas,genus,,true,NaN,true,false
356,64895,Borreliella,genus,,true,NaN,true,false
357,28033,Sulfobacillus,genus,,true,NaN,true,false
358,40323,Stenotrophomonas,genus,,true,NaN,true,false
359,28050,Lachnospira,genus,,true,NaN,true,false
360,171412,Eremococcus,genus,,true,NaN,true,false
361,302485,Phaeobacter,genus,,true,NaN,true,false
362,1912215,Acidipropionibacterium,genus,,true,NaN,true,false
363,1912216,Cutibacterium,genus,,true,NaN,true,false
364,1912217,Pseudopropionibacterium,genus,,true,NaN,true,false
365,1279384,Eggerthia,genus,,true,NaN,true,false
366,1279388,Kandleria,genus,,true,NaN,true,false
367,28067,Rubrivivax,genus,,true,NaN,true,false
368,122277,Pectobacterium,genus,,true,NaN,true,false
369,171436,Tistrella,genus,,true,NaN,true,false
370,1643951,Pseudothermotoga,genus,,true,NaN,true,false
371,32199,Buchnera,genus,,true,NaN,true,false
372,28105,Sinorhizobium,genus,,true,NaN,true,false
373,1485,Clostridium,genus,,true,NaN,true,false
374,32207,Rothia,genus,,true,NaN,true,false
375,159191,Nodularia,genus,,true,NaN,true,false
376,146918,Salinibacter,genus,,true,NaN,true,false
377,89583,Gluconacetobacter,genus,,true,NaN,true,false
378,196081,Scardovia,genus,,true,NaN,true,false
379,196082,Parascardovia,genus,,true,NaN,true,false
380,32257,Kingella,genus,,true,NaN,true,false
381,282132,Candidatus Protochlamydia,genus,,true,NaN,true,false
382,1562,Desulfotomaculum,genus,,true,NaN,true,false
383,499228,Tepidanaerobacter,genus,,true,NaN,true,false
384,1621534,Paraglaciecola,genus,,true,NaN,true,false
385,28196,Arcobacter,genus,,true,NaN,true,false
386,1578,Lactobacillus,genus,,true,NaN,true,false
387,1193515,Snodgrassella,genus,,true,NaN,true,false
388,75309,Rhodanobacter,genus,,true,NaN,true,false
389,28231,Geobacter,genus,,true,NaN,true,false
390,114248,Tepidimonas,genus,,true,NaN,true,false
391,2719313,Enterocloster,genus,,true,NaN,true,false
392,1164882,Lachnoanaerobaculum,genus,,true,NaN,true,false
393,282198,Nereida,genus,,true,NaN,true,false
394,28250,Ornithobacterium,genus,,true,NaN,true,false
395,83551,Parachlamydia,genus,,true,NaN,true,false
396,648800,Solibacillus,genus,,true,NaN,true,false
397,40544,Sutterella,genus,,true,NaN,true,false
398,1637,Listeria,genus,,true,NaN,true,false
