id,base_threshold,final_threshold,coverage
1793,0.31828383,0.3182838261127472,1.0
1891,0.36437717,0.3643771708011627,1.0
1032,0.33479077,0.33479076623916626,1.0
1034,0.0063653723,0.006365372333675623,1.0
1035,0.3460604,0.3460603952407837,1.0
1849,0.23448096,0.23448096215724945,1.0
1039,0.68123347,0.6812334656715393,1.0
1512,0.012134002,0.012134001590311527,1.0
1095,0.06317654,0.06317654252052307,1.0
980,0.09190873,0.09190873056650162,1.0
1042,0.45161608,0.4516160786151886,1.0
1044,0.32963938,0.32963937520980835,1.0
1045,0.7833484,0.7833483815193176,1.0
1046,0.0011413664,0.0011413664324209094,1.0
1049,0.08250033,0.08250033110380173,1.0
1051,0.3385926,0.3385925889015198,1.0
1052,0.5254872,0.5254871845245361,1.0
1443,0.028678304,0.028678303584456444,1.0
1482,0.12,0.12,0.52
1504,0.23999558,0.2399955838918686,1.0
1607,0.03847382,0.03847381845116615,1.0
1738,0.27737394,0.27737393975257874,1.0
813,0.33345523,0.33345523476600647,1.0
1882,0.2514628,0.25146278738975525,1.0
536,0.6489977,0.6489977240562439,1.0
1606,0.36149877,0.36149877309799194,1.0
1147,0.1099182,0.10991819947957993,1.0
696,0.3942302,0.3942301869392395,1.0
824,0.64453125,0.64453125,1.0
891,0.3592773,0.35927730798721313,1.0
1320,0.44961545,0.4496154487133026,1.0
1430,0.0004789272,0.0004789271915797144,1.0
1806,0.5704678,0.5704678297042847,1.0
864,0.008116429,0.00811642874032259,1.0
1294,0.43318123,0.4331812262535095,1.0
788,0.0327495,0.03274950012564659,1.0
1060,0.00012961763,0.000129617634229362,1.0
1376,0.06956072,0.06956072151660919,1.0
1647,0.0014578587,0.001457858714275062,1.0
699,0.023514044,0.023514043539762497,1.0
1063,0.48367703,0.4836770296096802,1.0
1235,0.00027578598,0.00027578597655519843,1.0
1237,0.0033266218,0.00332662183791399,1.0
1477,0.002376103,0.002376103075221181,1.0
1478,0.38023567,0.3802356719970703,1.0
1479,0.026206123,0.02620612271130085,1.0
