,genome1,genome2,similarity
199,152,110,0.40462350845336914
200,152,111,0.43135422468185425
201,152,112,0.41061529517173767
202,152,113,0.728135883808136
203,152,115,0.4135667383670807
204,152,116,0.4158325791358948
205,152,118,0.632870078086853
206,152,122,0.4167667329311371
207,152,123,0.4114912152290344
208,152,124,0.4183526933193207
209,152,125,0.41528984904289246
210,164,101,0.4137798249721527
211,164,102,0.5422636866569519
212,164,103,0.3857243061065674
213,164,104,0.4624630808830261
214,164,105,0.5447640419006348
215,164,106,0.444977343082428
216,164,107,0.4538646638393402
217,164,108,0.4263637661933899
218,164,109,0.7367070317268372
219,164,110,0.4140409529209137
220,164,111,0.4326903522014618
221,164,112,0.42754292488098145
222,164,113,0.45435741543769836
223,164,115,0.40700826048851013
224,164,116,0.4265887439250946
225,164,118,0.45110100507736206
226,164,122,0.42718446254730225
227,164,123,0.4262316823005676
228,164,124,0.40883201360702515
229,164,125,0.4355151355266571
230,164,147,0.3831014931201935
231,171,101,0.4454907178878784
232,171,102,0.464586079120636
233,171,103,0.3545173704624176
234,171,104,0.41648033261299133
235,171,105,0.4503638446331024
236,171,106,0.44295570254325867
237,171,107,0.42174652218818665
238,171,108,0.4553011655807495
239,171,109,0.4588868319988251
240,171,110,0.4453876316547394
241,171,111,0.4738028049468994
242,171,112,0.46140170097351074
243,171,113,0.4373147785663605
244,171,115,0.44146057963371277
245,171,116,0.4614061713218689
246,171,118,0.42327970266342163
247,171,122,0.4582756757736206
248,171,123,0.45546242594718933
249,171,124,0.447958767414093
250,171,125,0.461284339427948
251,171,147,0.39335161447525024
252,171,152,0.4446675777435303
253,172,101,0.43877550959587097
254,172,102,0.4692733585834503
255,172,103,0.3696977496147156
256,172,104,0.43390220403671265
257,172,105,0.4828519821166992
258,172,106,0.41670531034469604
259,172,107,0.435605525970459
260,172,108,0.4536389410495758
261,172,109,0.48315951228141785
262,172,110,0.43876728415489197
263,172,111,0.4458898901939392
264,172,112,0.4464642405509949
265,172,113,0.436343252658844
266,172,115,0.44651228189468384
267,172,116,0.45453912019729614
268,172,118,0.4343060553073883
269,172,122,0.45786693692207336
270,172,123,0.45370179414749146
271,172,124,0.43637004494667053
272,172,125,0.4637996256351471
273,172,147,0.39793333411216736
274,172,152,0.4341193735599518
275,172,164,0.48090147972106934
276,175,101,0.4463929831981659
277,175,102,0.474292516708374
278,175,103,0.3805970251560211
279,175,104,0.4472621977329254
280,175,105,0.487082839012146
281,175,106,0.4297933876514435
282,175,107,0.4439607560634613
283,175,108,0.4654485583305359
284,175,109,0.49243006110191345
285,175,110,0.44609764218330383
286,175,111,0.4583507776260376
287,175,112,0.4519178569316864
288,175,113,0.4424208998680115
289,175,115,0.44924837350845337
290,175,116,0.47466814517974854
291,175,118,0.4453769624233246
292,175,122,0.4608605206012726
293,175,123,0.46541184186935425
294,175,124,0.45063239336013794
295,175,125,0.4694429039955139
296,175,147,0.3998292088508606
297,175,152,0.44600972533226013
298,175,164,0.5031639337539673
299,175,171,0.4392412602901459
300,182,101,0.6066576242446899
301,182,102,0.4092404842376709
302,182,103,0.353316992521286
303,182,104,0.41942888498306274
304,182,105,0.4129088222980499
305,182,106,0.3952312171459198
306,182,107,0.4144718647003174
307,182,108,0.6105230450630188
308,182,109,0.4286104738712311
309,182,110,0.6067950129508972
310,182,111,0.6166455745697021
311,182,112,0.6159268617630005
312,182,113,0.4137475788593292
313,182,115,0.6899645924568176
314,182,116,0.6147375106811523
315,182,118,0.41688504815101624
316,182,122,0.6135917901992798
317,182,123,0.6106173992156982
318,182,124,0.6910820007324219
319,182,125,0.613928496837616
320,182,147,0.5348665714263916
321,182,152,0.4214460253715515
322,182,164,0.42134350538253784
323,182,171,0.4523760974407196
324,182,172,0.46852707862854004
325,204,101,0.5943718552589417
326,204,102,0.4059365689754486
327,204,103,0.3622843027114868
328,204,104,0.41407811641693115
329,204,105,0.40521374344825745
330,204,106,0.4016875922679901
331,204,107,0.4259207844734192
332,204,108,0.646934449672699
333,204,109,0.42586708068847656
334,204,110,0.5946226716041565
335,204,111,0.6202422380447388
336,204,112,0.6144818663597107
337,204,113,0.4095715582370758
338,204,115,0.5813740491867065
339,204,116,0.6711671948432922
