uid,refseq_acc,primary_taxid,species_taxid,use
9275531,GCF_016862955.1,1392758,1392758,True
9275541,GCF_016862975.1,556532,556532,True
9275551,GCF_016862995.1,1070424,1070424,True
9275561,GCF_016863015.1,1427754,1427754,True
9275571,GCF_016863035.1,83302,83302,True
9275601,GCF_016863095.1,564413,564413,True
9275611,GCF_016863115.1,795644,795644,False
9275621,GCF_016863135.1,28887,28887,True
9275641,GCF_016863175.1,936338,936338,True
9275651,GCF_016863195.1,1367882,1367882,True
9275661,GCF_016863215.1,97194,58119,False
9275681,GCF_016863255.1,689768,689768,False
9275691,GCF_016863275.1,58121,58121,True
9275701,GCF_016863295.1,575192,575192,True
9275711,GCF_016863315.1,234614,234614,True
9275721,GCF_016863335.1,487172,487172,True
9275731,GCF_016863355.1,763782,763782,True
9275741,GCF_016863375.1,321316,321316,True
9275751,GCF_016863395.1,1381558,1381558,True
9275761,GCF_016863415.1,795645,795645,True
9275771,GCF_016863435.1,1367973,1367973,False
9275781,GCF_016863455.1,1138585,1138585,True
9275791,GCF_016863475.1,42233,42233,False
9275801,GCF_016863495.1,1287068,1287068,True
9275811,GCF_016863515.1,84594,84594,True
9275821,GCF_016863535.1,419825,419825,False
9275831,GCF_016863555.1,502268,502268,False
9275861,GCF_016863615.1,741659,741659,True
9275871,GCF_016863635.1,175570,175570,True
9275881,GCF_016863655.1,65505,65505,True
9277071,GCF_016865215.1,1903056,1903056,True
9277081,GCF_016865235.1,1849581,1849581,True
9277191,GCF_016865425.1,227318,227318,False
9277261,GCF_016865555.1,2710591,2710591,True
9277271,GCF_016865585.1,613195,613195,False
9282311,GCF_016876095.1,304899,304899,False
9284891,GCF_016881145.1,1588641,1588641,True
9285021,GCF_016881405.1,570276,570276,True
9288591,GCF_016888445.1,359209,359209,True
9288621,GCF_016888515.1,1294299,1294299,False
9288811,GCF_016888945.1,387090,387090,True
9288871,GCF_016889065.1,544645,544645,True
9289031,GCF_016889385.1,735,735,True
9289301,GCF_016889925.1,817,817,True
9289381,GCF_016890085.1,536,536,True
9291551,GCF_016894325.1,37930,37930,True
9294521,GCF_900682675.2,437900,437900,True
9294701,GCF_905219535.1,486698,486698,True
9295121,GCF_016899755.1,1816689,1816689,False
9295151,GCF_016899805.1,1462571,1462571,False
9295221,GCF_016899955.1,1841864,1841864,False
9295301,GCF_016900115.1,990412,990412,False
9295401,GCF_016900315.1,138595,138595,False
9295541,GCF_016900595.1,290055,290055,False
9295571,GCF_016900655.1,1632013,1632013,False
9295591,GCF_016900695.1,1462569,1462569,False
9296121,GCF_016901735.1,1870988,1870988,False
9296171,GCF_016901835.1,626947,626947,False
9296261,GCF_016901995.1,1411144,1411144,False
9296461,GCF_016902415.1,1871024,1871024,False
9297331,GCF_016904155.1,410072,410072,True
9297591,GCF_016904675.1,1302235,1302235,True
9297711,GCF_016904885.1,2792470,2792470,False
9298111,GCF_016904945.1,1849582,1849582,True
9298121,GCF_016904955.1,1920170,1920170,True
9298141,GCF_016905005.1,1242174,1242174,True
9298641,GCF_016906065.1,491950,491950,True
9298701,GCF_016906185.1,67351,67351,True
9298951,GCF_005670685.2,1226753,56689,False
9298971,GCF_016906995.1,354246,354246,False
9299011,GCF_016907015.1,225144,225144,True
9299021,GCF_016907055.1,264637,264637,True
9299111,GCF_016907235.1,162169,162169,True
9299121,GCF_016907255.1,67574,67574,True
9299131,GCF_016907275.1,709860,709860,True
9299141,GCF_016907295.1,36806,36806,True
9299151,GCF_016907315.1,57043,57043,True
9299161,GCF_016907335.1,150122,150122,True
9299171,GCF_016907355.1,165814,165814,True
9299181,GCF_016907365.1,162170,162170,True
9299191,GCF_016907385.1,120298,120298,True
9299211,GCF_016907435.1,374513,374513,True
9299221,GCF_016907455.1,219301,219301,True
9299231,GCF_016907475.1,1921566,1921566,True
9299241,GCF_016907495.1,163874,163874,True
9299251,GCF_016907515.1,60489,60489,True
9299261,GCF_016907545.1,43665,43665,True
9299271,GCF_016907535.1,400768,400768,True
9299281,GCF_016907555.1,36807,36807,True
9299291,GCF_016907595.1,33881,33881,True
9299321,GCF_016907655.1,173560,173560,True
9299331,GCF_016907675.1,1564160,1564160,True
9299341,GCF_016907695.1,547056,547056,True
9299351,GCF_016907715.1,1708749,1708749,True
9299361,GCF_016907735.1,170994,170994,True
9299381,GCF_016907775.1,156979,156979,True
9299421,GCF_016907845.1,108028,108028,True
9299431,GCF_016907875.1,136274,136274,True
9299441,GCF_016907895.1,766895,766895,True
9299451,GCF_016907915.1,1216062,1216062,True
