db_id,ncbi_id,name,nspecies,ngenomes
322,1263,Ruminococcus,2,6
323,1269,Micrococcus,1,12
324,34037,Rahnella,1,4
325,1506553,Lachnoclostridium,2,6
326,400634,Lysinibacillus,3,15
327,1279,Staphylococcus,21,7027
328,204037,Dickeya,5,34
329,32008,Burkholderia,19,1001
330,66831,Facklamia,1,2
331,265488,Rhodopirellula,2,6
332,1298,Deinococcus,2,5
333,1301,Streptococcus,34,9518
334,288021,Kordiimonas,1,2
335,34072,Variovorax,1,11
336,34084,Riemerella,1,13
337,156973,Dysgonomonas,1,2
338,1508657,Ruminiclostridium,1,2
339,89404,Glaciecola,1,2
340,32067,Leptotrichia,2,5
341,1350,Enterococcus,23,919
342,1357,Lactococcus,2,91
343,1082702,Lonsdalea,1,2
344,140625,Lachnobacterium,1,3
345,263510,Crocosphaera,1,6
346,1375,Aerococcus,4,10
347,378210,Methyloversatilis,2,4
348,1378,Gemella,1,2
349,1380,Atopobium,1,2
350,1386,Bacillus,33,591
351,195950,Tannerella,1,4
352,476528,Bibersteinia,1,4
353,1330546,Pluralibacter,1,11
354,1330547,Kosakonia,1,3
355,13687,Sphingomonas,3,8
356,64895,Borreliella,4,59
357,28033,Sulfobacillus,1,2
358,40323,Stenotrophomonas,2,102
359,28050,Lachnospira,1,2
360,171412,Eremococcus,1,2
361,302485,Phaeobacter,2,5
362,1912215,Acidipropionibacterium,1,4
363,1912216,Cutibacterium,4,110
364,1912217,Pseudopropionibacterium,1,2
365,1279384,Eggerthia,1,2
366,1279388,Kandleria,1,4
367,28067,Rubrivivax,2,4
368,122277,Pectobacterium,8,50
369,171436,Tistrella,1,2
370,1643951,Pseudothermotoga,2,4
371,32199,Buchnera,1,12
372,28105,Sinorhizobium,3,44
373,1485,Clostridium,18,213
374,32207,Rothia,4,34
375,159191,Nodularia,1,2
376,146918,Salinibacter,1,2
377,89583,Gluconacetobacter,1,2
378,196081,Scardovia,2,4
379,196082,Parascardovia,1,4
380,32257,Kingella,1,44
381,282132,Candidatus Protochlamydia,1,2
382,1562,Desulfotomaculum,1,2
383,499228,Tepidanaerobacter,1,2
384,1621534,Paraglaciecola,1,2
385,28196,Arcobacter,2,14
386,1578,Lactobacillus,23,162
387,1193515,Snodgrassella,1,2
388,75309,Rhodanobacter,2,5
389,28231,Geobacter,2,5
390,114248,Tepidimonas,1,2
391,2719313,Enterocloster,3,18
392,1164882,Lachnoanaerobaculum,1,2
393,282198,Nereida,1,2
394,28250,Ornithobacterium,1,3
395,83551,Parachlamydia,1,4
396,648800,Solibacillus,1,2
397,40544,Sutterella,1,2
398,1637,Listeria,7,647
399,28261,Thermodesulfovibrio,1,2
