species_v11_idx1,species_v12_idx1,ngenomes
168,625,99
169,641,2
170,631,2
171,629,2
172,258,3
173,636,2
174,634,11
175,640,2
176,639,5
177,635,3
178,637,3
179,626,6
180,627,9
181,255,8
182,632,4
183,581,15
184,586,5
185,590,2
186,589,2
187,578,2
188,583,3
189,579,2
190,587,11
191,582,14
192,591,2
193,585,2
194,584,2
195,580,5
196,588,2
197,645,2
198,254,2
199,1083,4
200,1253,3
201,1224,8
202,1226,5
203,1239,28
204,1220,2
205,1225,24
206,1252,2
207,1244,2
208,1247,3
209,1227,30
210,1218,2
211,1228,4
212,1237,3
213,1229,2
214,1230,2
215,1231,6
216,1246,3
217,1248,2
218,1232,2
219,1228,3
220,1241,55
221,1233,3
222,1249,2
223,1234,3
224,1236,2
225,1240,5
226,1235,7
227,1251,2
228,1221,2
229,1250,3
230,1243,2
231,1219,2
232,1238,4
233,1242,3
234,1222,3
235,1223,3
236,1245,3
237,744,2
238,1417,3
239,1312,3
240,835,2
241,836,2
242,382,2
243,380,63
244,386,10
245,384,20
246,381,327
247,385,3
248,383,3
249,73,2
250,74,3
251,76,2
252,71,6
253,75,3
254,72,2
255,1091,6
256,1089,29
257,1092,22
258,1090,2
259,699,21
260,700,4
261,270,4
262,271,7
263,266,15
264,269,2
265,268,2
266,267,4
267,1346,2
268,1347,4
269,1344,2
270,1345,4
271,1343,2
272,1256,2
273,1257,2
274,223,2
275,550,2
276,146,158
277,148,14
278,154,5
279,150,66
280,151,2
281,147,16
282,153,5
283,152,44
284,1121,12
285,965,8
286,960,20
287,947,65
288,958,3
289,961,11
290,957,3
291,953,9
292,948,6
293,964,2
294,959,46
295,962,17
296,963,6
297,954,392
298,952,9
299,955,63
300,956,31
301,949,22
302,951,252
303,950,36
304,647,6
305,648,2
306,278,2
307,1286,3
308,281,2
309,114,257
310,117,7
311,118,2
312,115,27
313,120,2
314,123,2
315,116,628
316,119,4
317,122,2
318,121,3
319,746,4
320,748,3
321,747,4
322,745,4
323,543,2
324,542,2
325,545,2
326,544,6
327,93,2
328,53,2
329,52,2
330,1371,4
331,1370,2
332,225,2
333,618,3
334,620,15
335,621,12
336,619,10
337,617,48
338,616,115
339,837,2
340,394,2
341,396,4
342,395,2
343,393,7
344,253,2
345,405,2
346,401,4
347,403,44
348,402,7
349,404,3
350,1138,2
351,1126,4
352,1139,3
353,1137,3
354,1133,4
355,1127,116
356,1128,12
357,1142,3
358,1140,2
359,1135,2
360,1136,6
361,1129,4
362,1130,17
363,1141,2
364,1131,13
365,1132,10
366,1134,8
367,1125,2
368,84,2
369,85,2
370,176,3
371,175,17
372,1276,2
373,1265,3
374,1275,6
375,1263,2
376,1281,2
377,1271,2
378,1260,24
379,1283,2
380,1274,2
381,1282,2
382,1261,17
383,1270,2
384,1268,2
385,1277,19
386,1280,3
387,1266,2
388,1278,2
389,1269,2
390,1273,2
391,1262,35
392,1284,3
393,1285,14
394,1267,2
395,1279,2
396,1264,2
397,592,25
398,1040,6
399,1351,2
400,1354,6
401,1357,11
402,1355,2
403,1353,45
404,1356,4
405,1352,3
406,66,7
407,64,3
408,65,2
409,1427,2
410,1428,2
411,1432,17
412,969,3
413,970,2
414,1415,2
415,1430,6
416,1155,2
417,218,3
418,703,2
419,704,2
420,706,2
421,705,3
422,762,2
423,702,2
424,942,4
425,943,4
426,944,5
427,946,11
428,945,10
429,803,2
430,900,2
431,717,2
432,19,2
433,1008,2
434,477,4
435,476,3
436,475,5
437,78,2
438,1106,2
439,722,9
440,723,2
441,721,4
442,397,2
443,1216,20
444,1215,3
445,564,2
446,565,2
447,1350,2
448,415,31
449,414,5
450,412,98
451,413,192
452,416,2
453,413,10
454,1013,2
455,1015,2
456,1032,2
457,1028,9
458,1022,11
459,1020,3
460,1023,2
461,1024,6
462,1016,433
463,1017,412
464,1018,5
465,1026,2
466,1035,2
467,1019,6
468,1029,2
469,1034,2
470,1025,5
471,1027,2
472,1033,2
473,1030,3
474,1014,2
475,1021,2
476,1031,2
477,1310,3
478,1311,3
479,1097,2
480,420,14
481,421,2
482,422,2
483,423,2
484,419,2
485,280,2
486,1208,4
487,802,2
488,426,32
489,424,4221
490,425,6
491,878,2
492,877,2
493,879,2
494,966,2
495,531,2
496,124,2
497,649,2
498,164,2
499,387,6
500,156,2
501,157,2
502,158,23
503,159,2
504,155,2
505,160,2
506,47,2
507,322,3
508,167,6
509,166,8
510,165,95
511,493,4
512,492,4
513,51,3
514,292,2
515,694,2
516,698,8
517,696,29
518,695,34
519,697,2
520,1412,22
521,491,42
522,1047,2
523,163,3
524,222,2
525,221,10
526,219,2
527,161,5
528,220,3
529,162,2
530,1187,2
531,1186,3
532,1010,2
533,1149,2
534,309,2
535,307,8
536,308,4
537,576,2
538,6,3
539,9,2
540,8,2
541,7,3
542,4,2
543,5,2
544,1413,4
545,1259,2
546,830,2
547,730,24
548,553,6
549,554,109
550,556,2
551,555,16
552,557,2
553,427,7
554,540,2
555,541,2
556,1254,3
557,135,4
558,134,7
559,137,2
560,129,2
561,128,3
562,131,5
563,132,5
564,127,487
565,136,2
566,130,2
567,133,2
568,728,2
569,729,4
570,727,2
571,1414,2
572,642,3
573,720,2
574,224,2
575,138,2
576,287,2
577,1322,2
578,715,2
579,539,3
580,54,2
581,534,2
582,1107,4
583,609,3
584,212,2
585,211,2
586,1153,44
587,12,2
588,429,108
589,430,30
590,431,877
591,432,6
592,1146,8
593,82,4
594,83,6
595,290,5
596,288,2
597,289,2
598,1005,2
599,1085,3
600,261,2
601,86,2
602,708,3
603,709,2
604,1192,2
605,1039,3
606,1190,7
607,1191,2
608,1189,9
609,917,3
610,916,3
611,1096,2
612,1166,2
613,781,3
614,1163,14
615,771,2
616,1168,2
617,1167,5
618,772,3
619,236,2
620,778,2
621,766,14
622,794,3
623,822,2
624,817,13
625,776,2
626,790,3
627,749,2
628,786,5
629,1177,22
630,755,2
631,765,3
632,1164,29
633,779,3
634,1169,3
635,238,3
636,740,2
637,752,2
638,797,2
639,231,18
640,761,2
641,756,3
642,757,5
643,763,2
644,1170,2
645,235,2
646,1179,2
647,1175,2
648,789,2
649,777,2
650,1165,20
651,795,2
652,788,2
653,1178,2
654,1160,16
655,229,3
656,1171,14
657,1161,9
658,1174,4
659,800,2
660,1181,2
661,770,2
662,750,16
663,759,2
664,792,2
665,784,3
666,237,5
667,773,3
668,768,2
669,820,2
670,753,3
671,232,3
672,799,2
673,234,2
674,825,3
675,769,3
676,796,3
677,818,35
678,791,2
679,798,3
680,751,4
681,739,3
682,1172,2
683,737,2
684,738,83
685,782,3
686,1162,2
687,230,19
688,824,54
689,760,3
690,774,10
691,780,3
692,764,7
693,775,14
694,758,2
695,823,2
696,1182,2
697,1173,2
698,819,2
699,793,2
700,767,2
701,785,2
702,787,2
703,821,2
704,1176,2
705,233,2
706,754,2
707,783,3
708,1180,2
709,1037,14
710,1036,77
711,392,2
712,294,2
713,566,2
714,827,2
715,1290,3
716,314,2
717,315,2
718,317,2
719,310,2
720,318,2
721,311,2
722,313,2
723,321,2
724,320,3
725,312,488
726,316,2
727,319,2
728,812,2
729,646,2
730,102,5
731,96,2
732,98,36
733,97,262
734,104,25
735,103,4
736,106,2
737,105,2
738,99,15
739,100,33
740,101,16
741,107,3
742,433,2
743,1012,2
744,1011,3
745,532,2
746,896,6
747,898,4
748,899,16
749,897,3
750,903,2
751,901,8
752,902,2
753,904,5
754,1203,4
755,1199,2
756,1200,6
757,1198,6
758,1201,624
759,1204,2
760,1202,3
761,1038,2
762,919,5
763,920,2
764,918,8
765,1421,3
766,1422,3
767,49,2
768,48,3
769,50,2
770,713,2
771,125,30
772,126,3
773,217,2
774,260,2
775,538,2
776,364,3
777,714,4
778,10,4
779,874,13
780,861,2
781,548,4
782,547,3
783,1321,2
784,293,3
785,284,3
786,804,5
787,285,2
788,286,5
789,291,3
790,1046,2
791,1045,2
792,832,2
793,831,4
794,914,12
795,839,17
796,736,2
797,0,1
797,2,3
798,3,4
799,841,2
800,905,4
801,108,2
802,354,23
803,434,15
804,549,2
805,701,2
806,644,241
807,1302,22
808,1298,91
809,1302,66
810,1306,5
811,1297,2
812,852,2
813,843,3
814,849,2
815,1307,5
816,854,2
817,643,13
818,0,1
818,1299,8
819,1300,8
820,1305,2
821,1301,2
822,1308,2
823,1303,4
824,855,2
825,1309,2
826,846,5
827,850,2
828,844,6
829,847,2
830,853,2
831,1304,2
832,845,8
833,848,2
834,1302,3486
835,851,2
836,23,2
837,40,8
838,379,2
839,42,7
840,24,10
841,378,2
842,34,3
843,38,2
844,25,12
845,26,6
846,41,2
847,27,11
848,28,6
849,29,6
850,43,7
851,35,2
852,31,2
853,44,2
854,30,15
855,36,2
856,32,54
857,37,2
858,22,2
859,33,4
860,39,2
861,807,3
862,806,8
863,805,2
864,20,3
865,1099,3
866,362,4
867,357,326
868,358,6
869,359,721
870,360,2
871,361,2
872,363,2
873,1214,10
874,1193,2
875,67,2
876,881,4
877,1329,2
878,1331,2
879,1332,3
880,1334,2
881,1328,2
882,1327,3
883,1333,3
884,1330,2
885,1426,2
886,1425,2
887,1147,2
888,716,6
889,1366,2
890,1365,2
891,1367,2
892,109,7
893,303,2
894,390,6
895,149,3
896,867,2
897,868,59
898,70,2
899,880,3
900,615,3
901,1314,2
902,1411,8
903,1194,3
904,79,2
905,892,3
906,890,2
907,886,2
908,889,2
909,885,2
910,888,4
911,893,2
912,891,3
913,894,2
914,895,2
915,887,15
916,884,4
917,365,41
