accession,species_v11_idx1,species_v12_idx1
GCF_000024945.1,1360,610
GCF_000025025.1,411,1432
GCF_000025045.1,710,1036
GCF_000025065.1,428,945
GCF_000025085.1,1214,933
GCF_000025145.1,1205,922
GCF_000025165.1,489,424
GCF_000025205.1,521,491
GCF_000025225.2,770,713
GCF_000025245.1,203,1239
GCF_000025365.1,844,25
GCF_000025385.1,844,25
GCF_000025405.2,922,60
GCF_000025425.1,315,116
GCF_000025585.1,411,1432
GCF_000025745.1,489,424
GCF_000025765.1,1025,1103
GCF_000025805.1,141,1059
GCF_000025825.1,141,1059
GCF_000025985.1,168,625
GCF_000026005.1,441,721
GCF_000026025.1,333,618
GCF_000026065.1,692,764
GCF_000026225.1,490,425
GCF_000026245.1,489,424
GCF_000026265.1,489,424
GCF_000026305.1,489,424
GCF_000026345.1,489,424
GCF_000026405.1,746,896
GCF_000026505.1,688,824
GCF_000026525.1,688,824
GCF_000026545.1,489,424
GCF_000026565.1,1153,439
GCF_000026585.1,1235,988
GCF_000026605.1,1235,988
GCF_000026645.1,1044,178
GCF_000026665.1,1250,982
GCF_000026685.1,821,1301
GCF_000026705.1,758,1201
GCF_000026725.1,1258,977
GCF_000026745.1,1258,977
GCF_000026905.1,338,616
GCF_000026925.1,338,616
GCF_000026965.1,869,359
GCF_000026985.1,483,423
GCF_000027025.1,1153,439
GCF_000027045.1,1205,922
GCF_000027065.2,404,1356
GCF_000027085.1,349,404
GCF_000027125.1,489,424
GCF_000027145.1,760,1202
GCF_000027185.1,1237,1000
GCF_000027205.1,480,420
GCF_000027225.1,1419,456
GCF_000027265.1,483,423
GCF_000027305.1,549,554
GCF_000027325.1,845,26
GCF_000027345.1,856,32
GCF_000039765.1,1392,507
GCF_000046685.1,191,582
GCF_000046705.1,190,587
GCF_000047365.1,1432,465
GCF_000048645.1,725,312
GCF_000048665.1,725,312
GCF_000050405.1,441,721
GCF_000050425.1,441,721
GCF_000054005.1,276,146
GCF_000055945.1,713,566
GCF_000056065.1,632,1164
GCF_000062885.1,1145,1348
GCF_000063545.1,902,1411
GCF_000063585.1,355,1127
GCF_000064305.2,502,158
GCF_000067045.1,533,1149
GCF_000068525.2,338,616
GCF_000068585.1,338,616
GCF_000069185.1,806,644
GCF_000069245.1,18,329
GCF_000069785.1,408,65
GCF_000069925.1,970,856
GCF_000069945.1,394,1267
GCF_000069965.1,1032,435
GCF_000070465.1,242,382
GCF_000070605.1,1408,241
GCF_000072485.1,1226,1095
GCF_000073005.1,1402,724
GCF_000083545.1,786,804
GCF_000083565.1,869,359
GCF_000085865.1,847,27
GCF_000087965.2,1404,246
GCF_000090405.2,1147,1148
GCF_000091005.1,489,424
GCF_000091305.1,1296,1394
GCF_000091345.1,564,127
GCF_000091405.1,657,1161
GCF_000091465.1,1390,0
GCF_000091545.1,1342,171
GCF_000091565.1,480,420
GCF_000091645.1,1244,981
GCF_000091725.1,1027,1292
GCF_000091765.1,629,1177
GCF_000091785.1,721,311
GCF_000091905.1,1258,977
GCF_000092045.1,1088,276
GCF_000092265.1,802,354
GCF_000092325.1,220,1241
GCF_000092345.1,355,1127
GCF_000092485.1,338,616
GCF_000092525.1,1175,453
GCF_000092545.1,725,312
GCF_000092565.1,733,97
GCF_000092585.1,844,25
GCF_000092625.1,725,312
GCF_000092665.1,338,616
GCF_000092685.1,338,616
GCF_000092705.1,338,616
GCF_000092725.1,338,616
GCF_000092745.1,338,616
GCF_000092765.1,203,1239
GCF_000092785.1,1394,1429
GCF_000092805.1,338,616
GCF_000092985.1,886,1425
GCF_000093005.1,338,616
GCF_000093125.2,758,1201
GCF_000093145.3,371,175
GCF_000093185.1,564,127
GCF_000142965.1,1012,680
GCF_000143205.1,710,1036
GCF_000143225.1,570,727
GCF_000143435.1,693,775
GCF_000143585.1,1127,1144
GCF_000143605.1,127,1055
GCF_000143625.1,1086,1255
GCF_000143705.1,391,1262
GCF_000143725.1,260,700
GCF_000143745.1,684,738
GCF_000143765.1,1187,1341
GCF_000143845.1,900,615
GCF_000143865.1,854,30
GCF_000143945.1,856,32
GCF_000144005.1,1025,1103
GCF_000144025.1,1025,1103
GCF_000144045.1,1025,1103
GCF_000144065.1,1025,1103
GCF_000144085.1,1029,1104
GCF_000144105.1,1025,1103
GCF_000144125.1,1025,1103
GCF_000144145.1,1025,1103
GCF_000144165.1,1025,1103
GCF_000144185.1,1025,1103
GCF_000144205.1,1025,1103
GCF_000144225.1,1025,1103
GCF_000144245.1,1025,1103
GCF_000144265.1,1025,1103
GCF_000144285.1,1025,1103
GCF_000144305.1,1025,1103
GCF_000144325.1,1025,1103
GCF_000144345.1,1025,1103
GCF_000144365.1,1025,1103
GCF_000144385.1,1025,1103
GCF_000144425.1,1025,1103
GCF_000144445.1,1025,1103
GCF_000144465.1,1025,1103
GCF_000144485.1,1025,1103
GCF_000144505.1,1025,1103
GCF_000144525.1,1025,1103
GCF_000144545.1,1025,1103
GCF_000144565.1,1025,1103
GCF_000144585.1,1025,1103
GCF_000144675.1,391,1262
GCF_000144715.1,1025,1103
GCF_000144735.1,1025,1103
GCF_000144755.1,1025,1103
GCF_000144775.1,1025,1103
GCF_000144795.1,1025,1103
GCF_000144815.1,1025,1103
GCF_000144835.1,1025,1103
GCF_000144855.1,1025,1103
GCF_000144875.1,1025,1103
GCF_000144895.1,1025,1103
GCF_000144935.1,391,1262
GCF_000144955.1,1205,922
GCF_000144995.1,869,359
GCF_000145015.1,869,359
GCF_000145035.1,305,648
GCF_000145055.1,1025,1103
