genus,species,ngenomes,migration_dst_idxs1,migration_ndropped,migration_single_dst,migration_1to1,migration_identical
Aliivibrio,fischeri,5,1287,0,True,True,True
Aliivibrio,wodanis,6,1288,0,True,True,True
Altererythrobacter,marensis,2,558,0,True,True,True
Alteromonas,australica,2,142,0,True,True,True
Alteromonas,macleodii,8,144,0,True,True,True
Alteromonas,mediterranea,8,143,0,True,True,True
Alteromonas,stellipolaris,4,145,0,True,True,True
Amycolatopsis,mediterranei,6,1323,0,True,True,True
Amycolatopsis,methanolica,2,1324,0,True,True,True
Amycolatopsis,regifaucium,2,1326,0,True,True,True
Amycolatopsis,vancoresmycina,2,1325,0,True,True,True
Anaerococcus,hydrogenalis,2,1418,0,True,True,True
Anaerococcus,lactolyticus,2,1419,0,True,True,True
Anaerococcus,tetradius,2,1420,0,True,True,True
Anaerostipes,hadrus,2,283,0,True,True,True
Anaplasma,marginale,14,574,0,True,True,True
Anaplasma,phagocytophilum,21,575,0,True,True,True
Aneurinibacillus,migulanus,5,1342,0,True,True,True
Anoxybacillus,gonensis,2,560,0,True,True,True
Aphanizomenon,flos-aquae,2,859,0,True,True,True
Arcobacter,butzleri,11,1158,0,True,True,True
Arcobacter,lanthieri,3,1159,0,True,True,True
Ardenticatena,maritima,2,391,0,True,True,True
Arenimonas,composti,2,828,0,True,True,True
Arenimonas,oryziterrae,2,829,0,True,True,True
Arthrospira,platensis,3,743,0,True,True,True
Asticcacaulis,benevestitus,2,833,0,True,True,True
Atopobium,minutum,2,1048,0,True,True,True
Atopobium,rimae,2,376,0,True,True,True
Atopobium,vaginae,4,356,0,True,True,True
Aurantimonas,coralicida,2,1433,0,True,True,True
Aurantimonas,manganoxydans,2,1434,0,True,True,True
Aureimonas,ureilytica,4,533,0,True,True,True
Avibacterium,paragallinarum,5,1217,0,True,True,True
Azospirillum,brasilense,4,111,1,True,True,False
Azospirillum,thiophilum,2,112,0,True,True,True
Azotobacter,vinelandii,4,262,0,True,True,True
Bacillus,akibai,2,407,0,True,True,True
Bacillus,amyloliquefaciens,20,1053,0,True,True,True
Bacillus,anthracis,103,1054,0,True,True,True
Bacillus,aryabhattai,4,1070,0,True,True,True
Bacillus,atrophaeus,19,1064,0,True,True,True
Bacillus,azotoformans,2,1065,0,True,True,True
Bacillus,badius,4,1066,0,True,True,True
Bacillus,boroniphilus,2,400,0,True,True,True
Bacillus,cereus,196,1055,0,True,True,True
Bacillus,circulans,2,1056,0,True,True,True
Bacillus,clausii,2,411,0,True,True,True
Bacillus,coagulans,20,1057,0,True,True,True
