diameter,outgoing_overlaps,incoming_overlaps
0.619491,0,2
0.9902724,1,1
0.09357006,0,2
0.18169643,0,1
0.14727272,0,1
0.24386252,0,0
0.37737116,0,1
0.64212286,0,2
0.16198182,0,1
0.9281158,0,2
0.5487267,0,1
0.5420868,0,1
0.55781853,0,1
0.41049987,0,1
0.0018044794,0,1
0.045134913,0,2
0.0064618927,0,1
0.4515072,0,1
0.6765673,0,2
0.33353612,0,1
0.44843122,0,2
0.53846157,0,1
0.39775714,0,1
0.72417957,0,1
0.0076595745,0,2
0.006593964,0,0
0.28876635,0,1
0.08821443,0,1
0.6401078,0,1
0.00232423,0,1
0.00076345593,0,1
0.613609,0,2
0.56402695,0,1
0.0013723068,0,1
0.23016793,0,1
0.38142827,0,0
0.5372819,0,1
0.015141683,0,1
0.5541777,0,1
0.31016344,0,1
0.39441425,0,1
0.41652852,0,1
0.52051765,0,0
0.3109863,0,1
0.012490242,0,1
0.47826087,0,1
0.005098789,0,1
0.01055409,0,1
0.51493615,0,1
0.70546055,0,1
0.007440476,0,1
0.36884257,0,2
0.5498008,0,1
0.004055808,0,1
0.38595647,0,1
0.4977551,0,1
0.40672857,0,2
0.5890996,0,1
0.41161716,0,1
0.40075788,0,1
0.5006009,0,1
0.6534508,0,1
0.54910886,0,1
0.55574167,0,1
0.5359873,0,1
0.5630756,0,1
0.5476724,0,1
0.46446335,0,1
0.011335223,0,1
0.0078125,0,1
0.5458767,0,1
0.31519234,0,1
0.5467128,0,2
0.009739438,0,1
0.0040036957,0,1
0.52683336,0,2
0.5377451,0,1
0.1674231,0,1
0.4149477,0,1
0.8914858,1,3
0.5989805,0,2
0.38485688,0,2
0.49644127,0,4
0.2547447,0,2
0.41582882,0,3
0.00052863435,0,1
0.11776609,0,2
0.20879121,0,1
0.012491027,0,1
0.27197376,0,1
0.012501736,0,1
0.6356813,0,1
0.005024224,0,1
0.47920817,0,1
0.36952055,0,1
0.15763195,0,1
0.14530864,0,1
0.25663716,0,2
0.44280577,0,1
0.0056119147,0,1
0.8363452,0,1
0.6018953,0,2
0.29044485,0,1
0.29362214,0,1
0.0,0,1
0.3798387,0,1
0.21262458,0,1
0.5810056,0,1
0.02001026,0,1
0.012235294,0,1
0.0062506623,0,2
0.0046215556,0,1
0.004968139,0,1
0.586351,0,1
0.7350064,0,2
0.36110225,0,1
0.0017385806,0,1
0.6090347,0,2
0.4279988,0,1
0.0051716547,0,1
0.29250458,0,1
0.06615184,0,1
0.62181115,0,1
0.49151623,0,1
0.15510863,0,1
0.48136592,0,1
0.0038548452,0,1
0.14475785,0,1
0.36317968,0,1
0.6089082,0,1
0.48052675,0,1
0.6057828,0,1
0.35367233,0,1
0.010473052,0,1
0.7693008,0,2
0.82963127,0,1
0.0055813952,0,1
0.0047854786,0,1
0.009080403,0,2
0.00045289856,0,1
0.25791857,0,1
0.5132203,0,1
0.28398144,0,2
0.00754717,0,1
0.018041888,0,1
0.07041767,0,1
0.49891695,0,2
0.0027816412,0,1
0.527548,0,1
0.37689465,0,1
0.5790688,0,1
0.47520417,0,1
0.64677805,0,1
0.008068199,0,2
0.015151516,0,1
0.6273916,0,1
0.27937073,0,1
0.5596652,0,1
0.53916556,0,1
0.6238338,0,2
0.006066734,0,2
0.0076687117,0,2
0.007951741,0,1
0.3576065,0,1
0.39424497,0,1
0.37452862,0,1
0.0068215732,0,2
0.3397552,0,1
0.19937485,0,1
0.0050983247,0,1
0.4983555,0,1
0.005410723,0,1
0.0045045046,0,1
0.007704785,0,1
0.10466331,0,1
0.02571752,0,1
0.030407343,0,2
0.017706476,0,1
0.50890905,0,1
0.00914216,0,1
0.121665955,0,1
0.0069511803,0,2
0.52257454,0,1
0.00016420361,0,1
0.13139978,0,1
0.09480997,0,2
0.00075287034,0,1
0.64962167,0,2
0.6406655,0,1
0.0051428573,0,1
0.5451389,0,1
0.41280538,0,1
0.007203842,0,1
0.25457138,0,2
0.9323094,1,1
0.021134594,0,2
0.004819591,0,2
0.7304673,0,1
0.50633186,0,1
0.001726718,0,1
0.0064199395,0,2
0.45605385,1,3
0.46795657,1,3
0.034006376,0,1
0.034535393,0,1
0.017126545,0,1
0.020295503,0,1
0.025870178,0,2
0.5858933,0,2
0.021457,0,0
0.014364124,0,1
0.0018578352,0,3
0.009327633,0,2
0.003125,0,1
0.0048956755,0,1
0.38446903,0,1
0.20977895,0,2
0.009010374,0,1
0.07858911,0,1
0.0033174672,0,1
0.65798193,0,1
0.020869717,0,2
0.38191158,0,2
0.7228184,0,2
0.038693234,0,1
0.5605036,0,1
0.86970335,0,1
0.37586302,0,1
0.23915009,0,2
0.42463645,0,2
0.75587785,0,3
0.00026283512,0,1
0.0046812613,0,2
0.37421528,0,2
0.46866444,0,2
0.0046249293,0,2
0.0019723866,0,2
0.279893,0,1
0.009156697,0,2
0.04054272,0,2
0.20561798,0,1
0.7781314,0,1
0.58216757,0,1
0.612089,0,1
0.28461748,0,1
0.4089904,0,1
0.37058017,0,1
0.2328988,0,1
0.57092136,0,1
0.6345041,0,1
